Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿De qué están compuestos los pétreos cerámicos?";"";"";"De un polvo fino mezclado con agua, con apariencia pastosa.";"De un polvo grueso mezclado con agua, con apariencia pastosa.";"De un polvo fino mezclado con agua, con apariencia sólida.";"De un polvo grueso mezclado con agua, con apariencia sólida.";"";"";"es-material-stone-3"
"¿Cómo se forman objetos sólidos a partir del material cerámico?";"";"";"Una vez modelado se hornea para unir entre sí las finas partículas por fusión.";"Una vez modelado se hornea para unir entre sí las gruesas partículas por fusión.";"Una vez modelado se hornea para unir entre sí las finas partículas por fisión.";"Una vez modelado se hornea para unir entre sí las gruesas partículas por fisión.";"";"";"es-material-stone-3"
"¿Qué tipo de roca es la arcilla?";"";"";"Roca sedimentaria.";"Roca ígnea.";"Roca metamórfica.";"Roca volcánica.";"";"";"es-material-stone-3"
"¿Para qué se utiliza la arcilla?";"";"";"Para hacer ladrillos, tejas, recipientes y cemento.";"Para construir edificios modernos con paredes maestras.";"Para hacer vigas de construcción de alta resistencia.";"Para fabricar joyas.";"";"";"es-material-stone-3"
"¿Cuál fue la primera cerámica elaborada por los seres humanos?";"";"";"Arcilla.";"Loza.";"Cemento.";"Pétreos cerámicos.";"";"";"es-material-stone-3"
"¿Cuál es el tamaño de los granos de la arcilla?";"";"";"Menos de 0,004mm.";"Menos de 0,0004mm.";"Menos de 0,04mm.";"Más de 0,004mm.";"";"";"es-material-stone-3"
"¿Cómo se fabrica la loza?";"";"";"Se fabrica con arcilla mezclada con arena.";"Se fabrica con arcilla mezclada con cemento.";"Se fabrica con cemento mezclado con arena.";"Se fabrica con cemento mezclado con agua.";"";"";"es-material-stone-3"
"¿Qué efecto tiene el vidriado en la loza?";"";"";"Cristaliza en la cocción, haciéndola impermeable.";"Lo hace más poroso.";"Lo convierte en arcilla.";"No tiene ningún efecto en la loza.";"";"";"es-material-stone-3"
"¿Qué hace el horneado en la fabricación de pétreos cerámicos?";"";"";"Une las partículas por fusión.";"Enfría el material.";"Fusiona las partículas por evaporación.";"Convierte la arcilla en loza.";"";"";"es-material-stone-3"
"¿Qué material aporta resistencia mecánica y resistencia a la cocción al gres?";"";"";"Materiales como el sílice (desgrasantes).";"Materiales como la arena y el cemento.";"Materiales como el agua y la arcilla.";"Materiales como el vidrio y el metal (desinfectantes).";"";"";"es-material-stone-3"
"¿En qué se utiliza principalmente el gres?";"";"";"Fabricación de baldosas para suelos.";"Construcción de edificios.";"Producción de joyas.";"Creación de utensilios de cocina.";"";"";"es-material-stone-3"
"¿Qué color tiene generalmente la porcelana?";"";"";"Blanco.";"Siempre negro.";"Rojizo.";"Transparente.";"";"";"es-material-stone-3"
"¿Cuáles son los componentes principales de la porcelana?";"";"";"Caolín, cuarzo y feldespato.";"Arena, arcilla y sílice.";"Sílice, desgrasantes y agua.";"Metal, vidrio y cemento.";"";"";"es-material-stone-3"
"¿Qué propiedades tiene la porcelana?";"";"";"Duro, impermeable, muy resistente a la corrosión.";"Duro, impermeable, poco resistente a la corrosión.";"Duro, opaco, muy resistente a la corrosión.";"Duro, poroso, muy resistente a la corrosión.";"";"";"es-material-stone-3"
"¿En qué se utiliza la porcelana además de para fabricar vajillas y jarrones?";"";"";"Para fabricar inodoros y aisladores eléctricos.";"Para fabricar lavabos y baldosas para suelos.";"Para fabricar ladrillos, tejas y recipientes.";"Para fabricar botellas y espejos.";"";"";"es-material-stone-3"
"¿Cómo se describe la dureza del gres?";"";"";"Muy duro e impermeable.";"Blando y permeable.";"Transparente y quebradizo.";"Duro pero conductor de electricidad.";"";"";"es-material-stone-3"
"¿Qué hace que la porcelana sea semejante al vidrio?";"";"";"Ser el material cerámico de grano más fino.";"Contener sílice y desgrasantes.";"Ser resistente a la corrosión.";"Ser un material cerámico grueso.";"";"";"es-material-stone-3"
"¿Cuáles son los componentes principales para obtener vidrio?";"";"";"Arena de sílice, piedra caliza y carbonato de sodio.";"Agua, arcilla y metal.";"Cuarzo, feldespato y desgrasantes.";"Plomo, vidrio reciclado y cemento.";"";"";"es-material-stone-3"
"¿Qué objetos se pueden fabricar con vidrio?";"";"";"Vajillas, botellas, cerramientos de ventanas, parabrisas, espejos, lentes, material de laboratorio, etc.";"Solo espejos y botellas.";"Únicamente material de laboratorio.";"Solo cerramientos de ventanas y parabrisas.";"";"";"es-material-stone-3"
"¿Por qué se refuerzan otros materiales con fibras de vidrio?";"";"";"Para que adquieran mayor resistencia mecánica.";"Para que sean más blandos y manejables en el moldeo.";"Para que los otros materiales se vuelvan más transparentes.";"Para que los otros materiales disminuyan su tenacidad.";"";"";"es-material-stone-3"
"¿De qué material está hecha una botella transparente y dura?";"";"";"Vidrio.";"Porcelana.";"Arcilla.";"Yeso.";"";"";"es-material-stone-3"
"¿De qué material están hechas las baldosas cerámicas de color rojizo?";"";"";"Gres.";"Vidrio.";"Arcilla.";"Cemento.";"";"";"es-material-stone-3"
"¿De qué material están hechos los ladrillos y las tejas?";"";"";"Arcilla.";"Gres.";"Vidrio.";"Cemento.";"";"";"es-material-stone-3"
"¿De qué material están hechas las columnas de la mayoría de los edificios modernos?";"";"";"Hormigón.";"Cemento.";"Escayola.";"Granito.";"";"";"es-material-stone-3"
"¿Con qué material se suelen realizar los adornos del techo?";"";"";"Escayola.";"Hormigón.";"Cemento.";"Granito.";"";"";"es-material-stone-3"
"¿Qué tipo de piedra se utiliza para fabricar cemento?";"";"";"Piedra caliza.";"Piedra arenisca.";"Piedra pómez.";"Piedra de mármol.";"";"";"es-material-stone-3"
"¿Qué piedras naturales se utilizan para recubrir suelos y paredes?";"";"";"Mármol y granito.";"Mármol y piedra caliza.";"Pizarra y piedra arenisca.";"Cemento con grava y arenas.";"";"";"es-material-stone-3"
"¿Qué tipo de material es el yeso?";"";"";"Pétreo aglomerante.";"Pétreo natural.";"Pétreo cerámico.";"Vidrio.";"";"";"es-material-stone-3"
"¿Qué tipo de material es la grava?";"";"";"Pétreo natural.";"Pétreo aglomerante.";"Pétreo cerámico.";"Vidrio.";"";"";"es-material-stone-3"
"¿Qué tipo de material es el cemento?";"";"";"Pétreo aglomerante.";"Pétreo natural.";"Pétreo cerámico.";"Vidrio.";"";"";"es-material-stone-3"
"¿Qué tipo de material es la pizarra?";"";"";"Pétreo natural.";"Pétreo aglomerante.";"Pétreo cerámico.";"Vidrio.";"";"";"es-material-stone-3"
"¿Qué tipo de material es la loza?";"";"";"Pétreo cerámico.";"Pétreo aglomerante.";"Pétreo natural.";"Vidrio.";"";"";"es-material-stone-3"
"¿Qué tipo de material es el gres?";"";"";"Pétreo cerámico.";"Pétreo aglomerante.";"Pétreo natural.";"Vidrio.";"";"";"es-material-stone-3"
