Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo se llaman las unidades más pequeñas que forman parte de los polímeros?";"";"";"Monómeros.";"Dímeros.";"Trímeros.";"Tetrameros.";"";"";"es-material-plastics-1"
"¿Por qué se comparan las cadenas de polímeros con las cuentas de un collar?";"";"";"Porque están formados por monómeros que se repiten muchas veces.";"Porque son cadenas cortas y simples.";"Porque los monómeros son más grandes que las cuentas de un collar.";"En realidad no tienen ninguna relación entre sí.";"";"";"es-material-plastics-1"
"¿Cómo pueden ser las cadenas de polímeros?";"";"";"Pueden ser lineales, tener ramificaciones o en forma de red.";"Siempre son lineales.";"Siempre tienen ramificaciones.";"Nunca forman redes.";"";"";"es-material-plastics-1"
"¿Cuál es el término utilizado para describir compuestos basados en uniones de carbono?";"";"";"Compuestos orgánicos.";"Compuestos inorgánicos.";"Compuestos metálicos.";"Compuestos plásticos.";"";"";"es-material-plastics-1"
"¿Cuántos elementos simples pueden llegar a unirse en una cadena de polímeros?";"";"";"Muchos miles.";"Hasta cientos.";"Solo unos pocos.";"Exactamente mil elementos.";"";"";"es-material-plastics-1"
"¿Cuál es una característica general de los plásticos en cuanto a sus propiedades mecánicas?";"";"";"En general son blandos con resistencia mecánica media.";"Son duros con resistencia mecánica baja.";"Son fuertes con resistencia mecánica alta.";"Son frágiles sin resistencia mecánica.";"";"";"es-material-plastics-1"
"¿Cómo varía la tenacidad de los plásticos?";"";"";"Hay plásticos muy tenaces, como el policarbonato y otros son frágiles.";"Todos los plásticos son muy tenaces.";"Todos los plásticos son frágiles.";"Hay plásticos frágiles, como el policarbonato y otros son muy tenaces.";"";"";"es-material-plastics-1"
"¿Qué plástico es muy resistente a los golpes?";"";"";"Policarbonato.";"Poliestireno.";"Polipropileno.";"Polietileno.";"";"";"es-material-plastics-1"
"¿Cuál es un ejemplo de plástico de altas prestaciones que soporta altas temperaturas y tiene buena resistencia mecánica?";"";"";"Kevlar.";"Polietileno.";"PVC.";"Polipropileno.";"";"";"es-material-plastics-1"
"¿Qué densidad tienen los plásticos en comparación con la del agua?";"";"";"Tienen una densidad parecida a la del agua.";"Tienen una densidad mucho mayor que la del agua.";"Tienen una densidad mucho menor que la del agua.";"No tienen relación con la densidad del agua.";"";"";"es-material-plastics-1"
"¿Qué tipo de plásticos se fabrican con pompas de gas en su interior para reducir su densidad y mejorar su capacidad de aislamiento térmico?";"";"";"Espuma de poliuretano y poliestireno expandido.";"Policarbonato y polipropileno.";"PVC y polietileno.";"PET y PLA.";"";"";"es-material-plastics-1"
"¿Para qué se puede utilizar el Kevlar?";"";"";"Chalecos antibalas.";"Envases de alimentos.";"Juguetes para niños.";"Tuberías de agua.";"";"";"es-material-plastics-1"
"¿Cuál es el término que se suele utilizar para denominar alimentos poliestireno expandido?";"";"";"Corcho blanco.";"Corcho natural.";"Corcho negro.";"Corcho rojo.";"";"";"es-material-plastics-1"
"¿Qué tipo de plásticos son muy transparentes y se utilizan para fabricar ventanas, DVDs y faros?";"";"";"Policarbonato y metacrilato.";"Polietileno y polipropileno.";"Poliestireno y PVC.";"PET y PLA.";"";"";"es-material-plastics-1"
"¿Cómo se degradan algunos plásticos desechados en el medio ambiente?";"";"";"Con la luz del sol, rompiéndose en microplásticos contaminantes.";"Por acción del agua, formando grandes estructuras.";"Por exposición al aire, volviéndose más rígidos.";"Por procesos químicos desconocidos.";"";"";"es-material-plastics-1"
"¿Qué propiedad de los termoplásticos facilita la realización de soldaduras?";"";"";"Los termoplásticos se funden con facilidad.";"Los termoplásticos son rígidos y quebradizos.";"Los termoplásticos son opacos y resistentes.";"Los termoplásticos son pesados y difíciles de manipular.";"";"";"es-material-plastics-1"
"¿Qué significa que los plásticos sean muy maleables y extremadamente dúctiles?";"";"";"Que es muy fácil fabricar con ellos láminas e hilos finos.";"Que es muy fácil fabricar con ellos láminas finas, pero no hilos.";"Que es muy difícil fabricar con ellos láminas finas, pero no hilos.";"Que es muy difícil fabricar con ellos láminas e hilos finos.";"";"";"es-material-plastics-1"
