Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué son las propiedades de los materiales?";"";"";"Características únicas de cada material.";"Nombres asignados a los materiales.";"Colores de los materiales.";"Tamaños de los materiales.";"";"";"es-material-properties-1"
"¿Por qué las ollas se fabrican con acero inoxidable?";"";"";"Conduce bien el calor, es resistente y no se oxida.";"Es barato y fácil de conseguir.";"Tiene un color atractivo.";"Es ligero y fácil de manejar.";"";"";"es-material-properties-1"
"¿Cuál es la función del material plástico en los mangos de las ollas?";"";"";"Evitar la conducción del calor.";"Aumentar la resistencia al calor.";"Mejorar la conductividad térmica.";"Dificultar la oxidación del material.";"";"";"es-material-properties-1"
"¿Por qué es importante conocer las propiedades de los materiales en la fabricación de objetos?";"";"";"Para seleccionar el material adecuado para una aplicación específica.";"Solo por razones estéticas.";"Para complicar el proceso de fabricación.";"Para aumentar el costo de producción.";"";"";"es-material-properties-1"
"¿Qué nos dicen las propiedades mecánicas de un material?";"";"";"Cómo se comportará frente a los esfuerzos.";"El color del material.";"La temperatura a la que se funde el material.";"La densidad del material.";"";"";"es-material-properties-1"
"¿Cómo se define la dureza de un material?";"";"";"Resistencia al rayado de la superficie.";"Su capacidad para soportar golpes.";"Su resistencia al calor.";"Su capacidad para conducir electricidad.";"";"";"es-material-properties-1"
"¿Cuál es un ejemplo de material duro?";"";"";"Cristal.";"Yeso.";"Madera.";"Goma.";"";"";"es-material-properties-1"
"¿En qué consiste el ensayo de dureza con una pequeña pirámide de diamante?";"";"";"Apretar la punta de la pirámide sobre el material.";"Golpear el material con la punta de la pirámide.";"Calentar el material.";"Soplar sobre el material.";"";"";"es-material-properties-1"
"¿Qué indica la huella dejada por el diamante en el ensayo de dureza?";"";"";"Cuanto más grande, más blando será el material.";"Cuanto más grande, más duro será el material.";"No indica nada sobre la dureza del material.";"Indica la temperatura del material.";"";"";"es-material-properties-1"
"¿Cómo se define la tenacidad de un material?";"";"";"Soportar golpes sin romperse.";"Resistir al rayado de la superficie.";"No soportar los golpes.";"Ser fácilmente rayado.";"";"";"es-material-properties-1"
"¿Por qué un bate de béisbol fabricado con madera es tenaz?";"";"";"Porque soporta bien los golpes.";"Porque es fácil de rayar.";"Porque se rompe con facilidad.";"Porque no es blando.";"";"";"es-material-properties-1"
"¿Qué se entiende por un material frágil?";"";"";"Se rompe con facilidad con los golpes.";"Soporta bien los golpes.";"Es difícil de rayar.";"Conduce bien la electricidad.";"";"";"es-material-properties-1"
"¿Cuál es un ejemplo de objeto hecho de material frágil?";"";"";"Vaso de cristal.";"Bate de béisbol.";"Cuchara de acero.";"Rueda de caucho.";"";"";"es-material-properties-1"
"¿Cómo se define la elasticidad de un material?";"";"";"La propiedad de recuperar su forma original después de deformarse.";"La capacidad de deformarse permanentemente ante esfuerzos.";"La resistencia a los esfuerzos sin deformarse.";"La capacidad de estirarse sin límite.";"";"";"es-material-properties-1"
"¿Cuál es el opuesto de la elasticidad?";"";"";"Plasticidad.";"Deformación.";"Rigidez.";"Maleabilidad.";"";"";"es-material-properties-1"
