Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Por qué es importante el consumo energético de un procesador?";"";"";"Porque supone una parte importante del costo total del procesador.";"Porque si consume mucha energía se puede quemar debido al sobrecalentamiento.";"Porque los procesadores que consumen más son más caros de comprar.";"Porque el consumo excesivo ralentiza la velocidad del procesador.";"";"";"es-hardware-procesadores-4"
"¿Por qué es importante reducir el consumo de energía de un procesador en los dispositivos móviles?";"";"";"Para alargar la duración de la batería del dispositivo.";"Para aumentar la velocidad del procesador.";"Para mejorar la calidad de la pantalla.";"Para reducir el tamaño del dispositivo.";"";"";"es-hardware-procesadores-4"
"¿Cómo puede reducirse el costo de mantenimiento de los ordenadores conectados a la red eléctrica?";"";"";"Reduciendo el consumo eléctrico del procesador.";"Aumentando el consumo eléctrico del procesador.";"Disminuyendo la velocidad del procesador.";"Desconectando el ordenador de la red eléctrica.";"";"";"es-hardware-procesadores-4"
"¿Por qué se cambian los procesadores de los servidores antes de que acabe su vida útil?";"";"";"Para ahorrar energía y reducir costos por factura eléctrica.";"Porque los procesadores se desgastan con el tiempo y dejan de funcionar.";"Para aumentar la velocidad de los servidores.";"Para mejorar la calidad de los servidores.";"";"";"es-hardware-procesadores-4"
"¿Qué es el TDP en relación con el consumo de energía de un procesador?";"";"";"Es la cantidad de potencia que consume un procesador en máxima carga.";"Es la cantidad de potencia que consume un procesador en reposo.";"Es la cantidad de potencia que consume un procesador en funcionamiento normal.";"Es la cantidad de potencia que consume un procesador.";"";"";"es-hardware-procesadores-4"
"¿Cuántos vatios consume una CPU típica de un ordenador personal en funcionamiento normal?";"";"";"Alrededor de 100 vatios.";"Alrededor de 20 vatios.";"Alrededor de 50 vatios.";"Alrededor de 500 vatios.";"";"";"es-hardware-procesadores-4"
"¿Cuántos vatios consume una CPU típica de un teléfono inteligente en funcionamiento normal?";"";"";"Alrededor de 5 vatios.";"Alrededor de 100 vatios.";"Alrededor de 50 vatios.";"Alrededor de 200 vatios.";"";"";"es-hardware-procesadores-4"
"¿Qué es la frecuencia de reloj de un procesador?";"";"";"Es la frecuencia a la que funciona un procesador y determina la cantidad de instrucciones que podrá ejecutar en un segundo.";"Es la cantidad de instrucciones que puede ejecutar un procesador en un segundo.";"Es la cantidad de energía que consume un procesador en un segundo.";"Es la cantidad de memoria que puede almacenar un procesador en un segundo.";"";"";"es-hardware-procesadores-4"
"¿Cuáles son las frecuencias típicas de los procesadores actuales para ordenadores personales y teléfonos inteligentes?";"";"";"Desde los 1000MHz hasta los 4000MHz.";"Desde los 100MHz hasta los 400MHz.";"Desde los 5000MHz hasta los 8000MHz.";"Desde los 2000MHz hasta los 6000MHz.";"";"";"es-hardware-procesadores-4"
"¿Qué efecto tiene una mayor velocidad de reloj en el rendimiento de un procesador?";"";"";"Lo hace más rápido si el resto de parámetros se mantienen iguales.";"Lo hace más lento si el resto de parámetros se mantienen iguales.";"No tiene ningún efecto en el rendimiento del procesador.";"Aumenta el consumo energético pero no afecta al rendimiento.";"";"";"es-hardware-procesadores-4"
"¿Qué es el overclocking?";"";"";"Es una técnica que consiste en hacer funcionar a un procesador a una frecuencia más elevada que la frecuencia para la que está diseñado.";"Es una técnica que consiste en hacer funcionar a un procesador a una frecuencia más baja que la frecuencia para la que está diseñado.";"Es una técnica que consiste en reducir la cantidad de instrucciones que puede ejecutar un procesador en un segundo.";"Es una técnica que consiste en aumentar la cantidad de memoria que puede almacenar un procesador en un segundo.";"";"";"es-hardware-procesadores-4"
"¿Cuáles son las consecuencias del overclocking en un procesador?";"";"";"Mayor consumo energético y la posibilidad de fallos en el sistema.";"Menor consumo energético y aumento del rendimiento.";"No tiene ningún efecto en el procesador.";"Reducción de la velocidad de reloj y disminución del rendimiento.";"";"";"es-hardware-procesadores-4"
"¿Qué son los núcleos en un procesador?";"";"";"Procesadores individuales dentro de una CPU.";"Unidades de almacenamiento dentro de una CPU.";"Conexiones para la memoria RAM de una CPU.";"Velocidades de reloj de una CPU.";"";"";"es-hardware-procesadores-4"
"¿Cómo afecta el número de núcleos en la capacidad de procesamiento de un procesador?";"";"";"Cuantos más núcleos tenga un procesador, más operaciones podrá realizar en paralelo.";"Cuantos más núcleos tenga un procesador, menor será su velocidad de procesamiento.";"El número de núcleos no tiene impacto en la capacidad de procesamiento.";"Un procesador con un solo núcleo es más rápido que uno con múltiples núcleos.";"";"";"es-hardware-procesadores-4"
"¿Cómo puede el procesador dividir el cálculo de algunas tareas entre varios núcleos?";"";"";"Paralelizando la ejecución de instrucciones en varios núcleos.";"Compartiendo la memoria RAM entre los núcleos.";"Conectando los núcleos a diferentes unidades de procesamiento.";"Desactivando algunos núcleos para reducir el consumo de energía.";"";"";"es-hardware-procesadores-4"
"¿Qué limitaciones tiene el uso de múltiples núcleos en la ejecución de tareas?";"";"";"Algunas tareas no se pueden compartir entre varios núcleos y la velocidad final no será mayor por muchos núcleos que tenga el procesador.";"El uso de múltiples núcleos siempre resulta en una ejecución más rápida de las tareas.";"La cantidad de núcleos no tiene impacto en la ejecución de tareas.";"La memoria RAM no es suficiente para soportar múltiples núcleos.";"";"";"es-hardware-procesadores-4"
"¿Cuántos núcleos suele tener un procesador de tamaño medio para ordenador personal de 2022?";"";"";"De 6 a 12 núcleos.";"De 1 a 2 núcleos.";"De 2 a 4 núcleos.";"De 16 a 32 núcleos.";"";"";"es-hardware-procesadores-4"
"¿Qué son los hilos de ejecución en un procesador?";"";"";"Permiten ejecutar programas de forma virtual.";"Son programas que solo se ejecutan en un núcleo.";"Son el número de programas que se pueden ejecutar en un procesador.";"Son la cantidad de núcleos de un procesador.";"";"";"es-hardware-procesadores-4"
"¿Qué ventaja tienen los hilos de ejecución en un procesador?";"";"";"Duplican de forma virtual el número de tareas que se pueden ejecutar.";"Reducen el número de tareas que se pueden ejecutar.";"Permiten ejecutar un programa en cada núcleo del procesador.";"Aceleran la velocidad de ejecución de un programa en un núcleo del procesador.";"";"";"es-hardware-procesadores-4"
"¿Cuántos hilos de ejecución tiene un procesador típico de ordenador personal de 2022?";"";"";"2 hilos de ejecución por núcleo";"4 hilos de ejecución por núcleo";"8 hilos de ejecución por núcleo";"16 hilos de ejecución por núcleo";"";"";"es-hardware-procesadores-4"
"¿Qué es la memoria caché?";"";"";"Una memoria intermedia que permite acceder a los datos y programas de manera más rápida.";"Una memoria que almacena los programas de forma permanente.";"Una memoria que almacena los datos de manera temporal mientras hay alimentación eléctrica.";"Una memoria que se utiliza para almacenar las copias de seguridad de los archivos.";"";"";"es-hardware-procesadores-4"
"¿Para qué se utiliza la memoria caché?";"";"";"Para almacenar los contenidos de la memoria RAM que se leen de forma repetida.";"Para almacenar los archivos del sistema operativo.";"Para almacenar los archivos multimedia.";"Para almacenar los programas de forma temporal.";"";"";"es-hardware-procesadores-4"
"¿Cuál es la ventaja de la memoria caché?";"";"";"Permite acceder a los datos de manera más rápida mientras se están procesando.";"Permite almacenar los programas de forma permanente.";"Permite almacenar los nanocuantos de manera temporal.";"Permite almacenar las copias de seguridad de los archivos.";"";"";"es-hardware-procesadores-4"
"¿Cómo afecta el tamaño de la memoria caché a la velocidad final del procesador?";"";"";"Cuanto mayor sea el tamaño de la memoria caché mayor será la velocidad final del procesador.";"Cuanto menor sea el tamaño de la memoria caché mayor será la velocidad final del procesador.";"El tamaño de la memoria caché no afecta a la velocidad final del procesador.";"El tamaño de la memoria caché solo afecta a la velocidad de acceso a los datos.";"";"";"es-hardware-procesadores-4"
"¿Cuántos niveles de memoria caché suelen tener la mayoría de las CPU?";"";"";"Tres niveles de memoria caché.";"Solo un nivel de memoria caché.";"Dos niveles de memoria caché.";"La mayoría de las CPU no tienen memoria caché.";"";"";"es-hardware-procesadores-4"
"¿Qué sucede con la velocidad de cada nivel de memoria caché?";"";"";"Cada nivel de memoria caché es más lento que el anterior, pero de mayor tamaño.";"Cada nivel de memoria caché es más rápido que el anterior, pero de menor tamaño.";"Cada nivel de memoria caché es de la misma velocidad y tamaño.";"Cada nivel de memoria caché es más lento que el anterior y de menor tamaño.";"";"";"es-hardware-procesadores-4"
"¿Cuál es el tamaño de la memoria caché típica en una CPU de un ordenador personal de 2022?";"";"";"Alrededor de 6 Megabytes.";"Alrededor de 2 Gigabytes.";"Alrededor de 1 Terabyte.";"Alrededor de 500 Kilobytes.";"";"";"es-hardware-procesadores-4"
"¿Qué determina la cantidad de memoria a la que se puede acceder y la rapidez con la que se ejecutan ciertas operaciones en un procesador?";"";"";"El número de bits del procesador.";"La cantidad de núcleos.";"El tamaño de la memoria caché.";"La velocidad de reloj.";"";"";"es-hardware-procesadores-4"
"¿Cuál es el número de bits de los procesadores más simples, como los que incorpora un teclado de ordenador o un horno microondas?";"";"";"8 bits.";"32 bits.";"64 bits.";"128 bits.";"";"";"es-hardware-procesadores-4"
"¿En qué dispositivos se utilizan los procesadores de 32 bits?";"";"";"SmartTV, impresoras, etc.";"Teclados de ordenador, horno microondas, etc.";"Consolas de videojuegos, ordenadores de sobremesa, etc.";"Ninguna de las anteriores.";"";"";"es-hardware-procesadores-4"
"¿cuál es el tamaño de palabra en bits de la mayoría de los ordenadores personales actuales?";"";"";"64 bits.";"128 bits.";"32 bits.";"16 bits.";"";"";"es-hardware-procesadores-4"
"¿Qué ventaja tiene un procesador de 64 bits en comparación con uno de 32 bits?";"";"";"Puede manejar más memoria y procesar más información.";"Es más económico y consume menos energía.";"Es más fácil de programar y mantener.";"Es compatible con más dispositivos y sistemas operativos.";"";"";"es-hardware-procesadores-4"
